icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
80152f,2024-12-19 14:47:55,VOBL,2024-12-19 15:09:13,VOCB,IGO435  ,14298,1386,4163,5555,6,1
801540,2024-12-19 14:01:08,,2024-12-19 14:37:05,,IGO351P ,0,0,0,0,0,0
801551,2024-12-19 14:04:15,VOMM,2024-12-19 14:32:38,,IGO562  ,1261,243,0,0,5,0
8015f0,2024-12-19 13:58:42,,2024-12-19 14:35:05,VOCB,AXB2834 ,0,0,2505,6370,0,1
8015f3,2024-12-19 14:46:59,VOMM,2024-12-19 15:20:39,VOSX,IGO62C  ,973,235,14131,6659,5,1
801723,2024-12-19 14:16:55,VOBL,2024-12-19 14:36:50,,IGO54J  ,19787,1607,0,0,4,0
86d8cc,2024-12-19 13:27:29,RJAA,2024-12-19 14:45:53,RJOF,SJO425  ,878,42,13729,2672,16,2
880c44,2024-12-19 13:52:53,VTBD,2024-12-19 14:30:14,,AIQ3112 ,2882,347,0,0,15,0
881051,2024-12-19 14:08:05,VTBD,2024-12-19 14:41:00,,NOK536  ,2795,324,0,0,15,0
881425,2024-12-19 13:55:46,VTBD,2024-12-19 14:28:37,VTSE,AIQ3031 ,2337,241,12942,10974,15,0
8830f0,2024-12-19 14:04:39,VTBD,2024-12-19 14:29:57,,TLM764  ,2875,279,0,0,15,0
896497,2024-12-19 14:17:23,OMSJ,2024-12-19 14:28:25,,ABY118  ,341,26,0,0,22,0
8a054f,2024-12-19 15:03:17,,2024-12-19 15:36:02,,LKN190  ,0,0,0,0,0,0
8a0830,2024-12-19 13:50:05,,2024-12-19 14:30:22,WARR,BTK6588 ,0,0,24537,3426,0,0
8a098c,2024-12-19 13:43:49,,2024-12-19 14:47:55,,AWQ222  ,0,0,0,0,0,0
8a0a3e,2024-12-19 14:45:08,,2024-12-19 15:05:03,,TNU5533 ,0,0,0,0,0,0
a001de,2024-12-19 14:23:04,KRIC,2024-12-19 15:01:13,KBCB,N1VA    ,2223,192,8736,2291,367,60
a00705,2024-12-19 15:08:18,MGGT,2024-12-19 15:12:55,,N100ZT  ,2178,281,0,0,35,0
a02a37,2024-12-19 14:23:16,SOML,2024-12-19 14:32:17,SPQR,N11DT   ,46060,1892,26530,1246,12,3
a02ac7,2024-12-19 14:08:16,KTKI,2024-12-19 14:53:18,K2F7,N11KM   ,2043,96,6691,323,484,426
a02eaf,2024-12-19 13:58:50,KADS,2024-12-19 14:55:29,,N1101A  ,646,43,0,0,496,0
a04183,2024-12-19 14:34:50,KCLT,2024-12-19 14:56:33,KPSK,VTE3852 ,1827,153,1874,3412,314,3
a091f3,2024-12-19 13:52:04,KATL,2024-12-19 14:31:08,K1R8,EDV4826 ,1641,91,28382,2499,317,48
a0dc03,2024-12-19 15:46:17,1TS9,2024-12-19 15:48:57,XA65,N1544V  ,10797,571,1673,996,486,486
a105e8,2024-12-19 13:32:39,KORD,2024-12-19 14:36:45,37MO,SKW5457 ,2359,221,9820,2606,520,9
a10973,2024-12-19 13:32:18,KPHX,2024-12-19 14:32:08,K7V2,N166RD  ,359,80,9745,6271,115,13
a12295,2024-12-19 15:39:21,KUGN,2024-12-19 16:08:29,KUGN,N172WF  ,1408,174,1321,23,507,505
a12811,2024-12-19 15:09:33,KGPM,2024-12-19 15:13:13,KGPM,N174AH  ,850,3,1502,49,501,498
a1449d,2024-12-19 11:54:25,KENW,2024-12-19 14:25:47,FL90,LKF81   ,2006,314,13316,3122,495,5
a16a98,2024-12-19 12:30:04,KBEH,2024-12-19 14:41:48,KHSG,N1900W  ,9081,1472,25664,8764,392,0
a1ae99,2024-12-19 14:25:45,KPVU,2024-12-19 14:52:46,KU14,CXK408  ,386,151,35312,1242,49,48
a1b1bc,2024-12-19 12:27:47,KAUS,2024-12-19 14:29:38,KMCO,SWA4605 ,1326,134,3956,13404,427,7
a1c03a,2024-12-19 13:44:17,KIAD,2024-12-19 14:36:08,KFDW,UCA4818 ,1217,110,16854,2849,464,9
a1c7bf,2024-12-19 15:31:20,KI69,2024-12-19 16:16:51,KI69,N2135S  ,1317,47,2109,13,397,391
a1ea0a,2024-12-19 14:44:12,KLLN,2024-12-19 15:30:29,TS80,N222SL  ,2392,56,11151,2308,106,287
a1ea70,2024-12-19 14:44:47,,2024-12-19 15:15:22,KLAS,SWA1318 ,0,0,1281,11199,0,3
a1ec59,2024-12-19 14:18:21,KDEN,2024-12-19 14:49:54,KLXV,BMJ1810 ,3978,43,38562,2384,171,0
a223ba,2024-12-19 14:35:20,KDFW,2024-12-19 15:15:32,K55K,ENY3383 ,1616,127,3990,2708,495,11
a24782,2024-12-19 14:18:40,KDFW,2024-12-19 15:00:21,5TA4,ENY3920 ,3665,363,8852,2927,493,0
a24ad6,2024-12-19 14:25:40,KBOI,2024-12-19 14:35:32,20ID,N247JP  ,958,153,17173,1516,81,84
a2602c,2024-12-19 13:18:58,KIWA,2024-12-19 14:47:34,KPIH,AAY702  ,763,63,4187,2963,121,17
a28ee7,2024-12-19 14:21:53,KDAL,2024-12-19 14:50:11,41AR,SWA3134 ,1932,72,1800,5859,498,2
a29e03,2024-12-19 15:20:05,OG04,2024-12-19 15:44:41,,STT68   ,1086,2636,0,0,26,0
a2a26d,2024-12-19 13:46:39,KDAL,2024-12-19 14:52:10,65TX,SWA269  ,1246,118,15197,5204,499,1
