icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
aa3f21,2024-12-19 14:49:28,KSAV,2024-12-19 15:03:32,GA43,N7599X  ,224,15,7581,860,154,163
aa513c,2024-12-19 14:17:21,KDEN,2024-12-19 14:50:46,KIBM,SNC1211 ,3651,51,23737,1714,171,138
aa70b1,2024-12-19 05:02:34,EDDP,2024-12-19 15:14:02,VMMC,CKS281  ,1346,94,13998,5777,115,1
aa921e,2024-12-19 14:27:42,KMKA,2024-12-19 16:01:08,4SD4,WIS202  ,12248,771,766,50,78,57
aacf19,2024-12-19 12:30:13,CT19,2024-12-19 15:16:21,KX14,JBU1103 ,4804,882,4299,2554,257,12
aad5f2,2024-12-19 14:35:49,KDFW,2024-12-19 15:03:14,90LA,ENY3459 ,1013,104,9755,5847,496,2
aaf0f9,2024-12-19 14:39:36,KMTN,2024-12-19 16:11:24,KBWI,N804CP  ,8657,85,13146,74,557,550
ab00c4,2024-12-19 13:37:33,KDAL,2024-12-19 15:47:18,KSDL,SBE808  ,1101,118,621,79,500,118
ab44b0,2024-12-19 12:26:38,KBMC,2024-12-19 14:38:01,K0C4,N825NX  ,717,69,16259,2577,55,42
ab60a1,2024-12-19 13:50:58,KSAF,2024-12-19 14:39:26,KFST,JRE832  ,1368,160,35547,1947,50,74
ab8820,2024-12-19 13:56:54,81NC,2024-12-19 15:16:55,KABE,JRE842  ,134345,3787,274,112,0,461
ab8b80,2024-12-19 13:53:24,KPWM,2024-12-19 14:51:22,K3B1,IRO8412 ,809,75,110045,2323,152,11
abb601,2024-12-19 14:26:47,KONT,2024-12-19 15:02:23,KLAS,SWA576  ,945,47,1278,7199,142,3
abbca1,2024-12-19 14:17:13,KBWI,2024-12-19 15:11:50,K60J,SWA2719 ,1505,145,11067,2642,543,8
ac1f61,2024-12-19 11:30:23,KBOS,2024-12-19 14:45:37,37MO,RPA5638 ,1340,36,12653,2880,194,6
ac7492,2024-12-19 12:59:57,KXNA,2024-12-19 14:40:42,K20V,N901TF  ,4024,682,28585,3829,256,0
ac7ba4,2024-12-19 12:52:28,KBOI,2024-12-19 14:56:05,1AZ8,STT90   ,457,62,29849,2225,81,21
ac96df,2024-12-19 15:01:00,KLAS,2024-12-19 15:31:10,57CL,JANET10 ,2158,17,31823,2324,54,74
ace5bb,2024-12-19 13:46:57,KDTW,2024-12-19 15:05:03,K5J9,DAL1145 ,823,184,1683,3391,322,5
ad3616,2024-12-19 15:11:47,KTPA,2024-12-19 15:31:45,FL90,EJA950  ,1100,167,10563,2748,266,4
ad83f3,2024-12-19 14:04:08,KMKL,2024-12-19 14:52:13,KATL,LYM5870 ,5404,553,1741,99,216,316
ad854a,2024-12-19 13:43:56,KORD,2024-12-19 14:42:03,0PS4,SKW5607 ,2202,160,8448,2703,520,7
adfc96,2024-12-19 14:19:00,K82J,2024-12-19 15:08:20,4MS5,CONGO14 ,3497,197,20303,3471,144,0
adfe54,2024-12-19 14:33:59,KFCI,2024-12-19 15:36:16,K0A9,PAT325  ,2072,103,13741,2051,356,221
ae0047,2024-12-19 15:32:57,,2024-12-19 15:51:06,2XA0,THUG81  ,0,0,15839,5096,0,2
ae006f,2024-12-19 14:37:45,KF14,2024-12-19 14:58:49,5TA4,BURNY11 ,48566,3191,8253,2889,2,1
ae0090,2024-12-19 15:38:52,,2024-12-19 15:51:10,2XA0,THUG82  ,0,0,16092,4890,0,2
ae08ab,2024-12-19 15:03:26,OK11,2024-12-19 15:15:23,KDUC,SNAKE1  ,10711,3678,8820,3516,0,7
